time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2009-10-20,97.305,97.34,97.305,97.325,0.05275,12.5,0.005,1.4945
2009-10-21,97.33,97.345,97.315,97.325,0.0505,12.5,0.005,1.5016
2009-10-22,97.315,97.365,97.315,97.355,0.051,12.5,0.005,1.5033
2009-10-23,97.36,97.375,97.325,97.355,0.05125,12.5,0.005,1.5008
2009-10-26,97.365,97.405,97.355,97.4,0.052,12.5,0.005,1.4876
2009-10-27,97.405,97.445,97.395,97.435,0.05175,12.5,0.005,1.4804
2009-10-28,97.44,97.465,97.435,97.455,0.04875,12.5,0.005,1.4706
2009-10-29,97.465,97.47,97.4,97.415,0.04975,12.5,0.005,1.4822
2009-10-30,97.42,97.45,97.41,97.445,0.049,12.5,0.005,1.4719
2009-11-02,97.435,97.445,97.42,97.435,0.0485,12.5,0.005,1.4775
2009-11-03,97.44,97.48,97.435,97.46,0.04925,12.5,0.005,1.4724
2009-11-04,97.46,97.465,97.45,97.455,0.04675,12.5,0.005,1.4861
2009-11-05,97.46,97.505,97.415,97.49,0.04825,12.5,0.005,1.4871
2009-11-06,97.515,97.565,97.485,97.55,0.048,12.5,0.005,1.4847
2009-11-09,97.55,97.56,97.54,97.555,0.0455,12.5,0.005,1.4999
2009-11-10,97.56,97.565,97.545,97.555,0.04425,12.5,0.005,1.4993
2009-11-11,97.555,97.585,97.54,97.57,0.04475,12.5,0.005,1.4987
2009-11-12,97.575,97.6,97.57,97.59,0.043,12.5,0.005,1.4850
2009-11-13,97.595,97.605,97.59,97.595,0.04175,12.5,0.005,1.4903
2009-11-16,97.595,97.61,97.585,97.6,0.04075,12.5,0.005,1.4970
2009-11-17,97.61,97.61,97.57,97.595,0.041,12.5,0.005,1.4876
2009-11-18,97.6,97.605,97.58,97.59,0.04075,12.5,0.005,1.4963
2009-11-19,97.59,97.61,97.58,97.605,0.03975,12.5,0.005,1.4925
2009-11-20,97.595,97.605,97.535,97.56,0.04075,12.5,0.005,1.4862
2009-11-23,97.565,97.565,97.52,97.535,0.0405,12.5,0.005,1.4961
2009-11-24,97.535,97.555,97.505,97.535,0.0405,12.5,0.005,1.4968
2009-11-25,97.525,97.525,97.485,97.49,0.0415,12.5,0.005,1.5134
2009-11-26,97.49,97.545,97.49,97.53,0.04075,12.5,0.005,1.5019
2009-11-27,97.54,97.565,97.475,97.5,0.04325,12.5,0.005,1.4988
2009-11-30,97.505,97.515,97.465,97.49,0.0445,12.5,0.005,1.5005
2009-12-01,97.49,97.525,97.47,97.515,0.045,12.5,0.005,1.5081
2009-12-02,97.51,97.54,97.505,97.525,0.046,12.5,0.005,1.5044
2009-12-03,97.525,97.59,97.48,97.56,0.047,12.5,0.005,1.5053
2009-12-04,97.55,97.58,97.545,97.55,0.04475,12.5,0.005,1.4858
2009-12-07,97.555,97.575,97.525,97.565,0.04625,12.5,0.005,1.4827
2009-12-08,97.565,97.605,97.555,97.6,0.04775,12.5,0.005,1.4704
2009-12-09,97.6,97.6,97.575,97.59,0.04675,12.5,0.005,1.4726
2009-12-10,97.58,97.59,97.54,97.57,0.04775,12.5,0.005,1.4732
2009-12-11,97.58,97.58,97.555,97.565,0.04825,12.5,0.005,1.4615
2009-12-14,97.565,97.58,97.555,97.57,0.04825,12.5,0.005,1.4656
2009-12-15,97.57,97.575,97.53,97.545,0.0485,12.5,0.005,1.4538
2009-12-16,97.545,97.6,97.545,97.595,0.05,12.5,0.005,1.4531
2009-12-17,97.595,97.625,97.595,97.61,0.05,12.5,0.005,1.4338
2009-12-18,97.62,97.63,97.605,97.62,0.04775,12.5,0.005,1.4338
2009-12-21,97.62,97.625,97.605,97.62,0.0465,12.5,0.005,1.4276
2009-12-22,97.62,97.625,97.61,97.615,0.04475,12.5,0.005,1.4249
2009-12-23,97.615,97.64,97.61,97.63,0.04375,12.5,0.005,1.4337
2009-12-24,97.63,97.635,97.62,97.625,0.04175,12.5,0.005,1.4380
2009-12-28,97.63,97.63,97.615,97.625,0.038,12.5,0.005,1.4378
2009-12-29,97.625,97.635,97.615,97.62,0.0365,12.5,0.005,1.4354
2009-12-30,97.635,97.64,97.62,97.625,0.03475,12.5,0.005,1.4339
2009-12-31,97.625,97.64,97.625,97.63,0.03375,12.5,0.005,1.4321
2010-01-04,97.625,97.645,97.61,97.64,0.03,12.5,0.005,1.4413
2010-01-05,97.635,97.66,97.635,97.655,0.0295,12.5,0.005,1.4365
2010-01-06,97.655,97.67,97.65,97.665,0.028,12.5,0.005,1.4408
2010-01-07,97.67,97.685,97.665,97.685,0.0265,12.5,0.005,1.4308
2010-01-08,97.68,97.695,97.67,97.69,0.0265,12.5,0.005,1.4409
2010-01-11,97.685,97.7,97.68,97.69,0.025,12.5,0.005,1.4513
2010-01-12,97.695,97.705,97.685,97.7,0.02475,12.5,0.005,1.4486
2010-01-13,97.695,97.71,97.69,97.7,0.0245,12.5,0.005,1.4510
2010-01-14,97.7,97.72,97.685,97.715,0.024,12.5,0.005,1.4499
2010-01-15,97.72,97.745,97.71,97.725,0.023,12.5,0.005,1.4387
2010-01-18,97.72,97.735,97.72,97.725,0.02225,12.5,0.005,1.4384
2010-01-19,97.72,97.725,97.715,97.72,0.0215,12.5,0.005,1.4288
2010-01-20,97.725,97.73,97.715,97.725,0.02125,12.5,0.005,1.4106
2010-01-21,97.72,97.74,97.715,97.72,0.02175,12.5,0.005,1.4084
2010-01-22,97.725,97.745,97.7,97.71,0.0225,12.5,0.005,1.4139
2010-01-25,97.7,97.72,97.69,97.715,0.02325,12.5,0.005,1.4151
2010-01-26,97.72,97.73,97.705,97.71,0.02375,12.5,0.005,1.4072
