time,open,high,low,close,MA 50,MA 20,ATR,Tick value,Tick size
2019-03-13T00:00:00Z,365.5,370,363.25,366.5,375.16,370.525,5.58473496167433,6.25,0.125
2019-03-14T00:00:00Z,366.75,372.25,366.25,370.25,375.065,370.1,5.60549821359061,6.25,0.125
2019-03-15T00:00:00Z,369.25,373.75,369,373.25,375.015,370.025,5.56272330291108,6.25,0.125
2019-03-18T00:00:00Z,374,375.5,370.25,371.5,374.85,369.8625,5.54708713776553,6.25,0.125
2019-03-19T00:00:00Z,372,373.75,367.75,371.25,374.615,369.9375,5.56973278087725,6.25,0.125
2019-03-20T00:00:00Z,371.5,372.5,368.75,371.5,374.4,369.975,5.47874614183339,6.25,0.125
2019-03-21T00:00:00Z,371,377.5,370.5,376.25,374.325,370.0125,5.55480883474172,6.25,0.125
2019-03-22T00:00:00Z,375.75,380.75,375.5,378.25,374.25,370.1625,5.53956839300463,6.25,0.125
2019-03-25T00:00:00Z,378.75,380.75,376.75,379.75,374.32,370.625,5.4625899733544,6.25,0.125
2019-03-26T00:00:00Z,379.25,380.5,375.5,377.25,374.3,371.175,5.43946047468668,6.25,0.125
2019-03-27T00:00:00Z,376.75,377,372,373.75,374.205,371.675,5.42998745095235,6.25,0.125
2019-03-28T00:00:00Z,373.75,374.75,372,374,374.26,371.8375,5.29598807840473,6.25,0.125
2019-03-29T00:00:00Z,373.75,375,356,356.5,373.91,371.0125,5.98118867448449,6.25,0.125
2019-04-01T00:00:00Z,356.5,363,356.5,361.75,373.545,370.3625,6.00712924076027,6.25,0.125
2019-04-02T00:00:00Z,362.25,363.5,359.25,361.5,373.14,369.65,5.91927277872226,6.25,0.125
2019-04-03T00:00:00Z,361.25,364.75,360.5,362.75,372.815,369.1625,5.83580913978614,6.25,0.125
2019-04-04T00:00:00Z,362.75,366.25,362.75,365.25,372.545,369.1625,5.71901868279684,6.25,0.125
2019-04-05T00:00:00Z,364.5,364.75,360.5,362.5,372.255,369.075,5.67056774865699,6.25,0.125
2019-04-08T00:00:00Z,362.25,363.5,359.5,360,371.85,368.975,5.58703936122415,6.25,0.125
2019-04-09T00:00:00Z,359.75,362.25,355.25,360,371.455,368.6875,5.65768739316294,6.25,0.125
2019-04-10T00:00:00Z,360.25,362.75,360,361.75,371.145,368.45,5.51230302350479,6.25,0.125
2019-04-11T00:00:00Z,361.25,363,358.5,360,370.72,367.9375,5.46168787232955,6.25,0.125
2019-04-12T00:00:00Z,360.25,361.5,358.5,361,370.41,367.325,5.33860347871307,6.25,0.125
2019-04-15T00:00:00Z,361.25,364.25,361,362.75,370.1,366.8875,5.23417330477742,6.25,0.125
2019-04-16T00:00:00Z,362.5,362.5,357.25,359,369.695,366.275,5.24746463953855,6.25,0.125
2019-04-17T00:00:00Z,358.25,360,356.75,358.25,369.245,365.6125,5.14759140756162,6.25,0.125
2019-04-18T00:00:00Z,358,359.25,357,358.5,368.815,364.725,5.00271183718354,6.25,0.125
2019-04-22T00:00:00Z,359,359,354.25,354.75,368.38,363.55,4.99007624532436,6.25,0.125
2019-04-23T00:00:00Z,354.75,355,350.25,351.25,367.92,362.125,4.97807243305815,6.25,0.125
2019-04-24T00:00:00Z,351,352.5,345.5,346.75,367.4,360.6,5.07916881140524,6.25,0.125
2019-04-25T00:00:00Z,346,351,342.25,347.5,366.785,359.2875,5.26271037083498,6.25,0.125
2019-04-26T00:00:00Z,347.25,353.5,347,351.25,366.235,358.15,5.32457485229323,6.25,0.125
2019-04-29T00:00:00Z,353.25,356,351.25,352,365.78,357.925,5.29584610967857,6.25,0.125
2019-04-30T00:00:00Z,361.25,363.25,358.5,362.5,365.535,357.9625,5.59355380419464,6.25,0.125
2019-05-01T00:00:00Z,362.5,369,362.5,368.5,365.51,358.3125,5.63887611398491,6.25,0.125
2019-05-02T00:00:00Z,369.25,371,366.5,370.5,365.505,358.7,5.58193230828566,6.25,0.125
2019-05-03T00:00:00Z,370.25,371.75,366,370.75,365.41,358.975,5.59033569287138,6.25,0.125
2019-05-06T00:00:00Z,359.5,365,355.5,364.25,365.19,359.0625,6.07331890822781,6.25,0.125
2019-05-07T00:00:00Z,365.25,368.25,363,366.5,365.11,359.3875,6.03215296281642,6.25,0.125
2019-05-08T00:00:00Z,367,368.25,361.5,364.25,365.07,359.6,6.0680453146756,6.25,0.125
2019-05-09T00:00:00Z,362.5,363,352.5,353.25,364.86,359.175,6.35214304894182,6.25,0.125
2019-05-10T00:00:00Z,354,355.5,345.5,351.75,364.48,358.7625,6.53453589649473,6.25,0.125
2019-05-13T00:00:00Z,351,357.25,343,356.5,364.15,358.5375,6.92030910166999,6.25,0.125
2019-05-14T00:00:00Z,360.5,370.75,360.25,368.75,364.03,358.8375,7.28679364658649,6.25,0.125
2019-05-15T00:00:00Z,369,380,368,369.5,363.905,359.3625,7.52245396425716,6.25,0.125
2019-05-16T00:00:00Z,368.75,380.75,368.75,379,364.035,360.4,7.74633126604431,6.25,0.125
2019-05-17T00:00:00Z,380,384.75,380,383.25,364.395,361.6375,7.64651470274209,6.25,0.125
2019-05-20T00:00:00Z,386,391.5,385.75,389,364.89,363.35,7.67668896760499,6.25,0.125
2019-05-21T00:00:00Z,393.25,399,391.25,394.25,365.535,365.5,7.79285451922474,6.25,0.125
2019-05-22T00:00:00Z,393.25,396.5,386.25,394.5,366.11,367.8875,7.9157117932635,6.25,0.125
2019-05-23T00:00:00Z,394,399,387,389.75,366.575,370,8.11992620360033,6.25,0.125
2019-05-24T00:00:00Z,390.5,404.75,389.75,404.25,367.255,372.65,8.46392989342031,6.25,0.125
2019-05-28T00:00:00Z,408,421,407.5,420.25,368.195,376.0625,8.8782333987493,6.25,0.125
2019-05-29T00:00:00Z,429.25,438,412.25,418.75,369.14,378.875,9.72182172881183,6.25,0.125
2019-05-30T00:00:00Z,416.5,436.75,413.25,436.25,370.44,382.2625,10.4107306423712,6.25,0.125
2019-05-31T00:00:00Z,435,437.5,423.25,427,371.55,385.0875,10.6026941102527,6.25,0.125
2019-06-03T00:00:00Z,426.25,430.75,418.25,424.25,372.51,387.7625,10.69755940474,6.25,0.125
2019-06-04T00:00:00Z,435,436,421.25,425.25,373.45,390.8125,10.900181434503,6.25,0.125
