time,open,high,low,close,Average True Range,Tick value,Tick size,JPYUSD FX
2015-01-30,15510,15650,15440,15510,392.5,10000,10,0.008508
2015-02-02,15510,15530,15300,15370,383.5,10000,10,0.008501
2015-02-03,15400,15500,15100,15170,386,10000,10,0.008507
2015-02-04,15200,15590,15170,15500,380.5,10000,10,0.008527
2015-02-05,15490,15560,15310,15320,370,10000,10,0.008509
2015-02-06,15340,15550,15330,15500,365,10000,10,0.008396
2015-02-09,15480,15760,15450,15530,367.5,10000,10,0.008429
2015-02-10,15560,15570,15380,15480,354,10000,10,0.008373
2015-02-12,15500,15840,15450,15710,350.5,10000,10,0.008399
2015-02-13,15720,15810,15540,15800,332.5,10000,10,0.008417
2015-02-16,15840,15930,15810,15830,306,10000,10,0.00844
2015-02-17,15860,15860,15730,15840,294.5,10000,10,0.008385
2015-02-18,15830,16050,15800,16020,286,10000,10,0.008418
2015-02-19,16040,16180,16040,16100,279,10000,10,0.008407
2015-02-20,16120,16230,16050,16200,274,10000,10,0.008403
2015-02-23,16190,16360,16110,16300,266,10000,10,0.008417
2015-02-24,16310,16470,16270,16460,260.5,10000,10,0.008405
2015-02-25,16460,16540,16390,16470,251.5,10000,10,0.008413
2015-02-26,16460,16650,16390,16640,246,10000,10,0.008374
2015-02-27,16660,16760,16550,16660,241,10000,10,0.00836
2015-03-02,16680,16830,16610,16700,241.5,10000,10,0.008324
2015-03-03,16680,16750,16570,16660,239,10000,10,0.008352
2015-03-04,16660,16670,16430,16490,231,10000,10,0.008355
2015-03-05,16500,16620,16410,16600,220.5,10000,10,0.008325
2015-03-06,16620,16830,16610,16830,219.5,10000,10,0.008277
2015-03-09,16830,16930,16580,16630,225.5,10000,10,0.008254
2015-03-10,16660,16760,16410,16510,227.5,10000,10,0.008255
2015-03-11,16510,16701,16360,16500,235.05,10000,10,0.008233
2015-03-12,16510,16870,16460,16870,236.05,10000,10,0.008245
2015-03-13,16870,17190,16760,17140,244.05,10000,10,0.008238
2015-03-16,17170,17220,17080,17190,244.55,10000,10,0.008241
2015-03-17,17190,17340,17180,17340,246.05,10000,10,0.008239
2015-03-18,17340,17420,17210,17420,244.05,10000,10,0.008325
2015-03-19,17420,17430,17160,17380,249.55,10000,10,0.00828
2015-03-20,17370,17460,17260,17440,250.55,10000,10,0.008329
2015-03-23,17420,17640,17410,17630,249.55,10000,10,0.008353
2015-03-24,17630,17630,17490,17580,246.55,10000,10,0.00835
2015-03-25,17580,17670,17390,17590,253.05,10000,10,0.008369
2015-03-26,17590,17600,17230,17230,258.55,10000,10,0.00839
2015-03-27,17180,17560,16970,17260,277.55,10000,10,0.008394
2015-03-30,17220,17440,17160,17370,280.55,10000,10,0.008328
2015-03-31,17440,17570,17160,17150,292.05,10000,10,0.008324
2015-04-01,17270,17320,16880,17060,302.05,10000,10,0.00835
2015-04-02,17020,17390,16980,17290,312.05,10000,10,0.008353
2015-04-03,17240,17420,17220,17420,310.55,10000,10,0.008405
2015-04-06,17400,17490,17190,17330,308.05,10000,10,0.008365
2015-04-07,17350,17630,17340,17620,305.55,10000,10,0.008315
2015-04-08,17640,17810,17620,17760,298,10000,10,0.008324
2015-04-09,17730,17920,17730,17860,287,10000,10,0.008294
