time,open,high,low,close,Average True Range,Tick value,Tick size,CADUSD FX
2017-08-30,98.26,98.265,98.255,98.26,0.0245,12.5,0.005,0.7923
2017-08-31,98.255,98.26,98.205,98.22,0.0255,12.5,0.005,0.8011
2017-09-01,98.21,98.21,98.125,98.135,0.029,12.5,0.005,0.8067
2017-09-05,98.14,98.155,98.125,98.135,0.0285,12.5,0.005,0.8082
2017-09-06,98.125,98.145,97.995,98.005,0.034,12.5,0.005,0.8179
2017-09-07,98.02,98.02,97.965,97.97,0.035,12.5,0.005,0.8253
2017-09-08,97.975,97.975,97.9,97.93,0.0375,12.5,0.005,0.8225
2017-09-11,97.915,97.945,97.89,97.925,0.03875,12.5,0.005,0.8258
2017-09-12,97.915,97.92,97.905,97.92,0.03875,12.5,0.005,0.8206
2017-09-13,97.92,97.925,97.905,97.91,0.0385,12.5,0.005,0.8214
2017-09-14,97.905,97.91,97.875,97.905,0.039,12.5,0.005,0.8221
2017-09-15,97.9,97.9,97.875,97.89,0.0395,12.5,0.005,0.8202
2017-09-18,97.88,97.94,97.875,97.925,0.0415,12.5,0.005,0.8136
2017-09-19,97.93,97.95,97.92,97.94,0.04225,12.5,0.005,0.8135
2017-09-20,97.94,97.95,97.9,97.91,0.0435,12.5,0.005,0.8115
2017-09-21,97.92,97.925,97.9,97.905,0.0435,12.5,0.005,0.8112
2017-09-22,97.905,97.93,97.88,97.895,0.045,12.5,0.005,0.8103
2017-09-25,97.905,97.915,97.88,97.91,0.046,12.5,0.005,0.8083
2017-09-26,97.91,97.915,97.88,97.895,0.04725,12.5,0.005,0.8101
2017-09-27,97.885,97.965,97.875,97.94,0.0505,12.5,0.005,0.8014
2017-09-28,97.935,97.985,97.93,97.975,0.05275,12.5,0.005,0.8047
2017-09-29,97.975,98.01,97.965,97.99,0.05225,12.5,0.005,0.8019
2017-10-02,97.985,97.995,97.98,97.985,0.04825,12.5,0.005,0.7994
2017-10-03,97.98,97.995,97.975,97.985,0.04775,12.5,0.005,0.8008
2017-10-04,97.995,98.005,97.98,97.985,0.0415,12.5,0.005,0.8015
2017-10-05,97.98,98.005,97.975,97.99,0.04025,12.5,0.005,0.7958
2017-10-06,97.985,98.01,97.95,97.96,0.0395,12.5,0.005,0.7979
2017-10-10,97.965,97.975,97.95,97.965,0.038,12.5,0.005,0.799
2017-10-11,97.97,97.975,97.96,97.965,0.03775,12.5,0.005,0.8026
2017-10-12,97.97,97.985,97.965,97.97,0.03775,12.5,0.005,0.8016
2017-10-13,97.965,97.995,97.96,97.99,0.03775,12.5,0.005,0.8021
2017-10-16,97.99,98.045,97.99,98.005,0.039,12.5,0.005,0.7988
2017-10-17,98.01,98.035,98.005,98.03,0.03725,12.5,0.005,0.7986
2017-10-18,98.025,98.035,98.015,98.03,0.03675,12.5,0.005,0.8022
2017-10-19,98.035,98.06,98.035,98.045,0.03575,12.5,0.005,0.8009
2017-10-20,98.035,98.085,98.03,98.075,0.03725,12.5,0.005,0.792
2017-10-23,98.075,98.085,98.07,98.075,0.0355,12.5,0.005,0.7907
2017-10-24,98.075,98.075,98.055,98.07,0.03475,12.5,0.005,0.7889
2017-10-25,98.055,98.12,98.03,98.11,0.0375,12.5,0.005,0.7815
2017-10-26,98.11,98.14,98.1,98.135,0.035,12.5,0.005,0.7784
2017-10-27,98.14,98.16,98.14,98.15,0.0335,12.5,0.005,0.7808
2017-10-30,98.155,98.17,98.145,98.165,0.0325,12.5,0.005,0.7792
2017-10-31,98.165,98.2,98.16,98.185,0.03375,12.5,0.005,0.7758
2017-11-01,98.185,98.19,98.175,98.175,0.0335,12.5,0.005,0.7773
2017-11-02,98.175,98.19,98.175,98.185,0.033,12.5,0.005,0.7807
2017-11-03,98.185,98.185,98.145,98.16,0.0335,12.5,0.005,0.7835
2017-11-06,98.165,98.18,98.165,98.175,0.0315,12.5,0.005,0.7871
2017-11-07,98.175,98.205,98.17,98.205,0.032,12.5,0.005,0.7826
2017-11-08,98.205,98.21,98.195,98.205,0.032,12.5,0.005,0.7857
2017-11-09,98.195,98.2,98.18,98.185,0.03225,12.5,0.005,0.7885
2017-11-10,98.185,98.19,98.18,98.185,0.031,12.5,0.005,0.7883
2017-11-14,98.185,98.19,98.175,98.185,0.029,12.5,0.005,0.7855
2017-11-15,98.195,98.21,98.19,98.195,0.02875,12.5,0.005,0.7835
2017-11-16,98.195,98.195,98.18,98.19,0.0285,12.5,0.005,0.7839
2017-11-17,98.185,98.22,98.185,98.21,0.02875,12.5,0.005,0.7833
2017-11-20,98.22,98.22,98.195,98.205,0.02725,12.5,0.005,0.78
2017-11-21,98.205,98.22,98.2,98.215,0.0275,12.5,0.005,0.7826
2017-11-22,98.22,98.23,98.215,98.225,0.02725,12.5,0.005,0.7876
2017-11-23,98.225,98.245,98.22,98.24,0.024,12.5,0.005,0.7864
2017-11-24,98.245,98.25,98.24,98.245,0.0225,12.5,0.005,0.7866
2017-11-27,98.245,98.25,98.235,98.25,0.022,12.5,0.005,0.7831
2017-11-28,98.245,98.265,98.24,98.245,0.022,12.5,0.005,0.7803
2017-11-29,98.245,98.245,98.235,98.24,0.0205,12.5,0.005,0.7773
2017-11-30,98.235,98.245,98.235,98.24,0.02025,12.5,0.005,0.7754
2017-12-01,98.24,98.26,98.13,98.15,0.026,12.5,0.005,0.7883
2017-12-04,98.12,98.14,98.11,98.125,0.026,12.5,0.005,0.789
2017-12-05,98.125,98.165,98.11,98.16,0.02775,12.5,0.005,0.7882
2017-12-06,98.165,98.22,98.145,98.215,0.02975,12.5,0.005,0.7821
2017-12-07,98.215,98.225,98.205,98.21,0.03,12.5,0.005,0.7779
2017-12-08,98.215,98.22,98.195,98.2,0.03,12.5,0.005,0.7782
2017-12-11,98.2,98.205,98.185,98.195,0.0305,12.5,0.005,0.7778
2017-12-12,98.19,98.195,98.175,98.19,0.03075,12.5,0.005,0.7773
2017-12-13,98.185,98.2,98.18,98.195,0.0305,12.5,0.005,0.7803
2017-12-14,98.195,98.21,98.145,98.155,0.033,12.5,0.005,0.7814
2017-12-15,98.18,98.18,98.15,98.165,0.03275,12.5,0.005,0.7772
2017-12-18,98.16,98.16,98.145,98.15,0.0325,12.5,0.005,0.7775
2017-12-19,98.145,98.145,98.11,98.12,0.0335,12.5,0.005,0.7764
2017-12-20,98.12,98.12,98.095,98.105,0.034,12.5,0.005,0.7791
2017-12-21,98.1,98.1,98.04,98.055,0.036,12.5,0.005,0.785
2017-12-22,98.05,98.11,98.035,98.095,0.03925,12.5,0.005,0.7861
2017-12-27,98.085,98.11,98.08,98.1,0.04,12.5,0.005,0.7902
2017-12-28,98.1,98.1,98.08,98.085,0.03975,12.5,0.005,0.7956
2017-12-29,98.08,98.1,98.08,98.09,0.04025,12.5,0.005,0.7955
2018-01-02,98.09,98.09,98.065,98.07,0.041,12.5,0.005,0.7992
2018-01-03,98.07,98.09,98.07,98.08,0.0355,12.5,0.005,0.7977
2018-01-04,98.075,98.075,98.065,98.075,0.03425,12.5,0.005,0.8008
2018-01-05,98.075,98.075,97.98,97.99,0.03625,12.5,0.005,0.8056
2018-01-08,97.985,97.995,97.965,97.97,0.034,12.5,0.005,0.8051
2018-01-09,97.97,98,97.965,97.98,0.03475,12.5,0.005,0.8022
2018-01-10,97.97,98.045,97.97,98.035,0.03725,12.5,0.005,0.797
2018-01-11,98.025,98.03,98,98.01,0.038,12.5,0.005,0.7988
2018-01-12,98.005,98.005,97.99,98,0.038,12.5,0.005,0.8025
2018-01-15,97.99,98,97.975,97.98,0.03825,12.5,0.005,0.8045
2018-01-16,97.98,97.985,97.97,97.98,0.03575,12.5,0.005,0.8042
2018-01-17,97.98,98.015,97.94,97.99,0.038,12.5,0.005,0.8043
2018-01-18,97.985,98,97.985,97.99,0.03775,12.5,0.005,0.8054
2018-01-19,97.995,98,97.99,97.995,0.03625,12.5,0.005,0.8004
2018-01-22,97.995,98.01,97.995,98,0.03575,12.5,0.005,0.8036
2018-01-23,98.005,98.01,97.995,98.005,0.03325,12.5,0.005,0.8052
2018-01-24,98,98.005,97.995,98,0.03,12.5,0.005,0.8099
2018-01-25,98.005,98.015,97.99,98.005,0.02975,12.5,0.005,0.8081
2018-01-26,98.005,98.015,98,98.005,0.0295,12.5,0.005,0.8118
2018-01-29,98,98.01,97.995,98.01,0.02925,12.5,0.005,0.8104
2018-01-30,98.01,98.015,98,98.005,0.02875,12.5,0.005,0.8105
2018-01-31,98,98.005,97.99,98,0.0285,12.5,0.005,0.8121
2018-02-01,98,98.02,98,98,0.02875,12.5,0.005,0.8152
2018-02-02,98,98.025,97.995,98.005,0.0255,12.5,0.005,0.8047
2018-02-05,98.01,98.04,98.01,98.02,0.02575,12.5,0.005,0.7975
2018-02-06,98.035,98.04,98.02,98.035,0.025,12.5,0.005,0.8004
2018-02-07,98.03,98.04,98.025,98.035,0.022,12.5,0.005,0.7957
2018-02-08,98.035,98.05,98.025,98.045,0.0215,12.5,0.005,0.7935
2018-02-09,98.045,98.08,98.04,98.07,0.0225,12.5,0.005,0.7948
2018-02-12,98.065,98.08,98.065,98.075,0.022,12.5,0.005,0.7951
2018-02-13,98.075,98.08,98.075,98.075,0.0215,12.5,0.005,0.7942
2018-02-14,98.07,98.075,98.06,98.065,0.0185,12.5,0.005,0.8005
2018-02-15,98.06,98.07,98.05,98.06,0.01875,12.5,0.005,0.8013
2018-02-16,98.06,98.07,98.055,98.07,0.019,12.5,0.005,0.7969
2018-02-20,98.065,98.075,98.065,98.07,0.01875,12.5,0.005,0.7907
2018-02-21,98.07,98.08,98.065,98.07,0.01875,12.5,0.005,0.7872
2018-02-22,98.065,98.09,98.06,98.09,0.01975,12.5,0.005,0.7871
2018-02-23,98.09,98.09,98.055,98.085,0.02025,12.5,0.005,0.7916
2018-02-26,98.085,98.09,98.08,98.08,0.02,12.5,0.005,0.7883
2018-02-27,98.08,98.085,98.07,98.075,0.02,12.5,0.005,0.7827
2018-02-28,98.075,98.09,98.07,98.085,0.02025,12.5,0.005,0.7793
2018-03-01,98.085,98.1,98.08,98.095,0.0205,12.5,0.005,0.779
2018-03-02,98.095,98.11,98.09,98.095,0.0205,12.5,0.005,0.7762
2018-03-05,98.095,98.11,98.095,98.1,0.01975,12.5,0.005,0.7714
