time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-05-12,5970,6171,5951.5,6141,162.55,12.5,0.5,1.2614
2010-05-13,6170,6225,6145,6203.5,163.725,12.5,0.5,1.2535
2010-05-14,6183,6184.5,5961.5,5980,168.725,12.5,0.5,1.2358
2010-05-17,5942.5,6101,5927,6012,174.35,12.5,0.5,1.2395
2010-05-18,6060,6132,6041,6105,175.05,12.5,0.5,1.2202
2010-05-19,6028,6073,5905,5932.5,181.525,12.5,0.5,1.2415
2010-05-20,5944,5992.5,5727,5795,187.425,12.5,0.5,1.2487
2010-05-21,5776,5818,5633,5768,190.7,12.5,0.5,1.257
2010-05-24,5763.5,5817.5,5678.5,5745.5,193.4,12.5,0.5,1.2372
2010-05-25,5603.5,5694,5553,5627.5,191.425,12.5,0.5,1.2345
2010-05-26,5667,5775,5640.5,5708,191.225,12.5,0.5,1.2178
2010-05-27,5697.5,5919,5697,5893.5,197.85,12.5,0.5,1.2362
2010-05-28,5894,5927,5835.5,5887.5,195.975,12.5,0.5,1.2273
2010-05-31,5912.5,5941,5876.5,5907.5,193.5,12.5,0.5,1.2306
2010-06-01,5879,5958,5777,5919,192.125,12.5,0.5,1.2229
2010-06-02,5866,5985,5813,5928.5,195.825,12.5,0.5,1.2249
2010-06-03,6015,6049.5,5973.5,5994.5,178.825,12.5,0.5,1.2163
2010-06-04,6000.5,6060.5,5810,5875.5,177.675,12.5,0.5,1.1967
2010-06-07,5806.5,5901,5776,5835.5,169.025,12.5,0.5,1.1923
2010-06-08,5843.5,5877,5743.5,5800,166.5,12.5,0.5,1.1973
2010-06-09,5834,5940,5778,5937,163.625,12.5,0.5,1.1979
2010-06-10,5896,6035,5869,5999.5,167.725,12.5,0.5,1.2124
2010-06-11,6014,6039,5927.5,5988.5,161.2,12.5,0.5,1.2112
2010-06-14,6050,6083.5,6016,6063.5,157.25,12.5,0.5,1.2221
2010-06-15,6048,6169,6023,6120,158.55,12.5,0.5,1.2332
2010-06-16,6120,6137,6062,6110.5,152.3,12.5,0.5,1.2311
2010-06-17,6104.5,6162.5,6085,6137.5,142.9,12.5,0.5,1.2389
2010-06-18,6153.5,6177,6107,6136,137.15,12.5,0.5,1.2388
2010-06-21,6217.5,6273,6145.5,6208,137.05,12.5,0.5,1.2312
2010-06-22,6194.5,6216,6113.5,6186.5,132.55,12.5,0.5,1.2271
2010-06-23,6145.5,6192.5,6097.5,6128,129.925,12.5,0.5,1.2311
2010-06-24,6148.5,6165.5,6015.5,6036.5,126.325,12.5,0.5,1.2333
2010-06-25,6055.5,6071,5959.5,5993.5,127.325,12.5,0.5,1.2369
2010-06-28,6013.5,6090.5,5978.5,6074.5,129.7,12.5,0.5,1.2277
2010-06-29,6002.5,6002.5,5846,5885,132.075,12.5,0.5,1.2188
2010-06-30,5880.5,5922.5,5816,5875,128.8,12.5,0.5,1.2238
2010-07-01,5796.5,5875.5,5746.5,5782,129.2,12.5,0.5,1.2527
2010-07-02,5804,5860.5,5718.5,5755,123.775,12.5,0.5,1.2566
2010-07-05,5747.5,5785.5,5727,5744,120.45,12.5,0.5,1.2538
2010-07-06,5762,5916,5760,5841.5,122.375,12.5,0.5,1.2626
2010-07-07,5816,5967,5766.5,5901.5,124.3,12.5,0.5,1.2638
2010-07-08,5959.5,5992.5,5924,5949,120.55,12.5,0.5,1.2698
2010-07-09,5993.5,6018.5,5957.5,5983,118.45,12.5,0.5,1.2641
2010-07-12,5992.5,6040,5979.5,5987,116.725,12.5,0.5,1.2596
2010-07-13,6003.5,6121,5986.5,6103.5,116.15,12.5,0.5,1.2724
2010-07-14,6153.5,6159.5,6079.5,6123.5,116.4,12.5,0.5,1.2743
2010-07-15,6131.5,6178,6045.5,6064,119.15,12.5,0.5,1.295
2010-07-16,6069,6125.5,5928.5,5967,125.5,12.5,0.5,1.293
2010-07-19,5964,6004.5,5912.5,5934.5,123.25,12.5,0.5,1.2942
2010-07-20,5948,5968.5,5825,5885,125.3,12.5,0.5,1.288
2010-07-21,5923,5981,5858,5908.5,126.7,12.5,0.5,1.2754
2010-07-22,5883.5,6068,5868,6056.5,129.2,12.5,0.5,1.2893
2010-07-23,6053.5,6113,6029.5,6086.5,127.8,12.5,0.5,1.2909
2010-07-26,6126.5,6133.5,6049,6106.5,126.425,12.5,0.5,1.2994
2010-07-27,6115,6172.5,6101,6124,118.575,12.5,0.5,1.2996
2010-07-28,6158.5,6167.5,6065,6091,118.375,12.5,0.5,1.2995
2010-07-29,6103.5,6163,6005.5,6045,119.8,12.5,0.5,1.3079
2010-07-30,6034,6103.5,5976.5,6080.5,119.05,12.5,0.5,1.3052
2010-08-02,6099,6223.5,6099,6197.5,123.275,12.5,0.5,1.3179
2010-08-03,6209,6231.5,6184,6217.5,117.05,12.5,0.5,1.3231
2010-08-04,6202.5,6290,6181,6256,112.475,12.5,0.5,1.3161
2010-08-05,6261.5,6301,6237.5,6255.5,111.1,12.5,0.5,1.3189
2010-08-06,6274.5,6305,6161,6179.5,114.825,12.5,0.5,1.328
2010-08-09,6243,6287.5,6234,6268,117.2,12.5,0.5,1.3222
2010-08-10,6253.5,6255.5,6164,6196.5,115.675,12.5,0.5,1.3177
2010-08-11,6190.5,6190.5,6057.5,6078,118.625,12.5,0.5,1.2863
2010-08-12,6048,6091.5,6014,6055.5,115.875,12.5,0.5,1.2829
2010-08-13,6073.5,6092,5984.5,6027,111.4,12.5,0.5,1.2754
2010-08-16,6040.5,6072.5,5977,6020.5,111.575,12.5,0.5,1.2827
2010-08-17,6056.5,6133,6039,6123.5,110.025,12.5,0.5,1.2885
2010-08-18,6089,6133.5,6070.5,6107,107.025,12.5,0.5,1.2853
2010-08-19,6114,6147,5967,5997,106.025,12.5,0.5,1.2823
2010-08-20,5986.5,6013.5,5903.5,5925,107.35,12.5,0.5,1.2712
2010-08-23,5933.5,5970.5,5910,5920,106.15,12.5,0.5,1.2657
2010-08-24,5905,5905.5,5784,5850.5,109.375,12.5,0.5,1.2627
2010-08-25,5822.5,5871,5750,5824.5,110.3,12.5,0.5,1.2659
2010-08-26,5836.5,5865.5,5785.5,5820.5,106.425,12.5,0.5,1.2716
2010-08-27,5809,5893.5,5758.5,5868.5,106.825,12.5,0.5,1.2763
2010-08-30,5890.5,5901,5793.5,5831,105.05,12.5,0.5,1.2663
2010-08-31,5764,5849.5,5729.5,5823,108.675,12.5,0.5,1.268
2010-09-01,5845.5,6002,5789.5,5989.5,113.85,12.5,0.5,1.2809
2010-09-02,5970.5,6022.5,5966,5999.5,113.5,12.5,0.5,1.2826
2010-09-03,6010.5,6093,6001,6042.5,110.975,12.5,0.5,1.2896
2010-09-06,6088.5,6089.5,6055.5,6063.5,107.925,12.5,0.5,1.2876
2010-09-07,6066,6066,5995.5,6035.5,106.25,12.5,0.5,1.2682
2010-09-08,6017.5,6095.5,5976.5,6082.5,105.25,12.5,0.5,1.272
2010-09-09,6057.5,6148,6046,6127.5,106.475,12.5,0.5,1.2696
2010-09-10,6115.5,6139.5,6097,6131,103.225,12.5,0.5,1.2679
2010-09-13,6182,6206.5,6145.5,6178,102.225,12.5,0.5,1.2883
2010-09-14,6167,6203.5,6144.5,6193.5,99.55,12.5,0.5,1.2998
2010-09-15,6193.5,6202,6142.5,6183.5,99.375,12.5,0.5,1.3011
2010-09-16,6171,6197,6147,6166.5,92.875,12.5,0.5,1.3078
2010-09-17,6229,6244,6099.5,6128,94.6,12.5,0.5,1.305
2010-09-20,6154,6233.5,6133.5,6205,96.85,12.5,0.5,1.3061
2010-09-21,6209.5,6255.5,6181,6201.5,93.775,12.5,0.5,1.3264
2010-09-22,6219,6220,6107.5,6127,93.35,12.5,0.5,1.3406
2010-09-23,6169.5,6180,6042.5,6092,96.225,12.5,0.5,1.3314
2010-09-24,6088,6229,6058.5,6207.5,98,12.5,0.5,1.3492
2010-09-27,6238.5,6246,6186.5,6191.5,95.6,12.5,0.5,1.3455
2010-09-28,6196,6228,6111,6192,95.45,12.5,0.5,1.3585
2010-09-29,6192,6242.5,6136,6164,90.15,12.5,0.5,1.3627
2010-09-30,6137.5,6254,6099.5,6147,95.05,12.5,0.5,1.3634
2010-10-01,6156,6210,6101,6118,95.825,12.5,0.5,1.3791
2010-10-04,6123,6140,6024.5,6053,99.25,12.5,0.5,1.3685
