time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2014-02-19,97.157,97.217,97.147,97.197,0.0885,15,0.005,0.9
2014-02-20,97.187,97.227,97.137,97.207,0.0895,15,0.005,0.9007
2014-02-21,97.207,97.217,97.147,97.147,0.085,15,0.005,0.8977
2014-02-24,97.157,97.197,97.147,97.197,0.082,15,0.005,0.9035
2014-02-25,97.187,97.207,97.167,97.197,0.0795,15,0.005,0.9019
2014-02-26,97.187,97.237,97.177,97.227,0.0775,15,0.005,0.8968
2014-02-27,97.227,97.337,97.217,97.317,0.0775,15,0.005,0.8965
2014-02-28,97.307,97.347,97.297,97.337,0.0765,15,0.005,0.8924
2014-03-03,97.327,97.407,97.307,97.387,0.0775,15,0.005,0.8938
2014-03-04,97.377,97.397,97.327,97.337,0.075,15,0.005,0.895
2014-03-05,97.317,97.327,97.237,97.277,0.0755,15,0.005,0.8985
2014-03-06,97.267,97.297,97.217,97.227,0.0745,15,0.005,0.909
2014-03-07,97.227,97.247,97.167,97.197,0.0735,15,0.005,0.9068
2014-03-10,97.187,97.217,97.147,97.187,0.072,15,0.005,0.902
2014-03-11,97.177,97.257,97.177,97.212,0.0725,15,0.005,0.8977
2014-03-12,97.207,97.242,97.197,97.222,0.07175,15,0.005,0.8988
2014-03-13,97.222,97.272,97.072,97.152,0.07675,15,0.005,0.9031
2014-03-14,97.162,97.302,97.157,97.272,0.08125,15,0.005,0.9028
2014-03-17,97.272,97.302,97.217,97.242,0.0825,15,0.005,0.9087
2014-03-18,97.237,97.242,97.182,97.202,0.0835,15,0.005,0.9127
2014-03-19,97.197,97.237,97.187,97.217,0.0825,15,0.005,0.9042
2014-03-20,97.227,97.237,97.117,97.167,0.084,15,0.005,0.9039
2014-03-21,97.157,97.177,97.127,97.137,0.083,15,0.005,0.9081
2014-03-24,97.137,97.157,97.107,97.127,0.083,15,0.005,0.9133
2014-03-25,97.127,97.167,97.097,97.167,0.0845,15,0.005,0.9166
2014-03-26,97.167,97.187,97.137,97.147,0.084,15,0.005,0.9226
2014-03-27,97.147,97.187,97.117,97.157,0.0815,15,0.005,0.9259
2014-03-28,97.147,97.177,97.137,97.177,0.081,15,0.005,0.9247
2014-03-31,97.177,97.177,97.137,97.157,0.078,15,0.005,0.9264
2014-04-01,97.157,97.167,97.107,97.127,0.0775,15,0.005,0.9247
2014-04-02,97.127,97.137,97.077,97.107,0.0755,15,0.005,0.9248
2014-04-03,97.097,97.107,97.057,97.087,0.074,15,0.005,0.9232
2014-04-04,97.087,97.127,97.077,97.107,0.0725,15,0.005,0.9292
2014-04-07,97.107,97.177,97.077,97.167,0.074,15,0.005,0.927
2014-04-08,97.167,97.197,97.157,97.167,0.072,15,0.005,0.936
2014-04-09,97.167,97.187,97.147,97.177,0.07175,15,0.005,0.9391
2014-04-10,97.167,97.187,97.117,97.147,0.06525,15,0.005,0.9413
2014-04-11,97.147,97.187,97.127,97.187,0.06075,15,0.005,0.9397
2014-04-14,97.187,97.237,97.167,97.227,0.06,15,0.005,0.9424
2014-04-15,97.217,97.217,97.167,97.207,0.06,15,0.005,0.9362
2014-04-16,97.197,97.247,97.177,97.217,0.061,15,0.005,0.9371
2014-04-17,97.217,97.247,97.177,97.237,0.0585,15,0.005,0.933
2014-04-18,97.237,97.237,97.207,97.217,0.0575,15,0.005,0.9333
2014-04-22,97.177,97.207,97.167,97.197,0.0575,15,0.005,0.9367
2014-04-23,97.197,97.277,97.157,97.257,0.06,15,0.005,0.9291
2014-04-24,97.247,97.297,97.247,97.277,0.06,15,0.005,0.9264
2014-04-25,97.267,97.297,97.247,97.287,0.059,15,0.005,0.9281
2014-04-28,97.297,97.337,97.277,97.297,0.06,15,0.005,0.9258
2014-04-29,97.297,97.307,97.267,97.287,0.06,15,0.005,0.9268
2014-04-30,97.277,97.287,97.247,97.267,0.059,15,0.005,0.9287
2014-05-01,97.257,97.297,97.237,97.277,0.059,15,0.005,0.9274
2014-05-02,97.267,97.307,97.267,97.287,0.0585,15,0.005,0.9277
2014-05-05,97.277,97.327,97.227,97.307,0.061,15,0.005,0.9274
2014-05-06,97.297,97.347,97.287,97.327,0.059,15,0.005,0.9351
2014-05-07,97.327,97.367,97.307,97.357,0.06,15,0.005,0.9327
2014-05-08,97.347,97.367,97.317,97.327,0.0605,15,0.005,0.9375
2014-05-09,97.327,97.357,97.317,97.347,0.059,15,0.005,0.9362
2014-05-12,97.347,97.367,97.327,97.337,0.058,15,0.005,0.9362
2014-05-13,97.327,97.337,97.307,97.327,0.056,15,0.005,0.936
2014-05-14,97.327,97.357,97.317,97.347,0.055,15,0.005,0.9378
2014-05-15,97.347,97.407,97.337,97.367,0.055,15,0.005,0.9356
2014-05-16,97.357,97.397,97.337,97.377,0.0545,15,0.005,0.936
2014-05-19,97.367,97.387,97.337,97.387,0.0555,15,0.005,0.933
2014-05-20,97.387,97.397,97.357,97.377,0.055,15,0.005,0.9243
2014-05-21,97.367,97.457,97.357,97.457,0.054,15,0.005,0.9251
2014-05-22,97.457,97.477,97.387,97.407,0.056,15,0.005,0.9226
2014-05-23,97.407,97.427,97.357,97.387,0.057,15,0.005,0.9231
2014-05-26,97.387,97.417,97.367,97.407,0.0565,15,0.005,0.9237
2014-05-27,97.407,97.417,97.367,97.387,0.057,15,0.005,0.9259
2014-05-28,97.387,97.407,97.377,97.397,0.0565,15,0.005,0.9236
2014-05-29,97.397,97.477,97.397,97.447,0.0575,15,0.005,0.9307
2014-05-30,97.447,97.467,97.407,97.437,0.0585,15,0.005,0.931
2014-06-02,97.427,97.447,97.407,97.447,0.0555,15,0.005,0.9246
2014-06-03,97.437,97.467,97.397,97.427,0.056,15,0.005,0.9266
2014-06-04,97.427,97.427,97.337,97.367,0.0575,15,0.005,0.9277
2014-06-05,97.367,97.387,97.347,97.377,0.057,15,0.005,0.934
2014-06-06,97.377,97.387,97.327,97.377,0.058,15,0.005,0.9333
2014-06-09,97.367,97.407,97.357,97.367,0.0585,15,0.005,0.9356
2014-06-10,97.357,97.372,97.337,97.367,0.05875,15,0.005,0.9373
2014-06-11,97.357,97.362,97.312,97.322,0.0595,15,0.005,0.9383
2014-06-12,97.317,97.387,97.317,97.357,0.0595,15,0.005,0.9426
2014-06-13,97.357,97.402,97.347,97.372,0.05925,15,0.005,0.9402
2014-06-16,97.367,97.417,97.352,97.402,0.06,15,0.005,0.9401
2014-06-17,97.402,97.472,97.392,97.462,0.062,15,0.005,0.9337
2014-06-18,97.452,97.452,97.412,97.442,0.0595,15,0.005,0.9408
2014-06-19,97.432,97.522,97.432,97.502,0.0595,15,0.005,0.9398
2014-06-20,97.502,97.502,97.472,97.492,0.0575,15,0.005,0.9388
2014-06-23,97.492,97.512,97.462,97.472,0.0575,15,0.005,0.9422
2014-06-24,97.472,97.522,97.472,97.522,0.0575,15,0.005,0.9368
2014-06-25,97.512,97.582,97.512,97.562,0.0595,15,0.005,0.9408
2014-06-26,97.552,97.592,97.542,97.562,0.058,15,0.005,0.9414
2014-06-27,97.562,97.612,97.522,97.592,0.0595,15,0.005,0.9427
2014-06-30,97.582,97.602,97.552,97.582,0.06,15,0.005,0.9433
2014-07-01,97.572,97.602,97.542,97.552,0.0595,15,0.005,0.9497
2014-07-02,97.542,97.602,97.542,97.582,0.058,15,0.005,0.9443
2014-07-03,97.582,97.652,97.552,97.642,0.061,15,0.005,0.9347
2014-07-04,97.632,97.632,97.562,97.612,0.062,15,0.005,0.9365
2014-07-07,97.602,97.632,97.582,97.602,0.062,15,0.005,0.9373
2014-07-08,97.592,97.632,97.582,97.592,0.06275,15,0.005,0.9399
2014-07-09,97.592,97.642,97.582,97.622,0.063,15,0.005,0.9414
2014-07-10,97.612,97.672,97.582,97.672,0.064,15,0.005,0.9395
2014-07-11,97.662,97.722,97.652,97.722,0.06475,15,0.005,0.9392
2014-07-14,97.722,97.742,97.672,97.692,0.065,15,0.005,0.9393
2014-07-15,97.692,97.712,97.652,97.712,0.064,15,0.005,0.937
2014-07-16,97.712,97.762,97.672,97.732,0.066,15,0.005,0.9368
2014-07-17,97.722,97.742,97.702,97.722,0.0635,15,0.005,0.9351
2014-07-18,97.722,97.812,97.702,97.752,0.0675,15,0.005,0.939
2014-07-21,97.742,97.742,97.692,97.702,0.068,15,0.005,0.9373
